cor 1679
gre 1668
cam 1636
sao 1615
flu 1605
cru 1584
int 1582
spo 1582
cap 1565
san 1557
pal 1551
cha 1529
pon 1521
goi 1516
fla 1516
cfc 1495
fig 1465
jec 1446
Ava 1419
vas 1401

